defense_label,FGSM,PGD-40
Undefended,93.18,82.18800000000002
FGSM,98.598,96.944
PGD-5,97.99000000000001,97.122
PGD-10,98.20599999999999,97.612
PGD-20,98.63199999999999,98.276
PGD-40,98.704,98.4
