defense_label,FGSM,PGD-40
Undefended,79.564,29.788
FGSM,97.812,89.68599999999999
PGD-5,95.724,91.318
PGD-10,96.774,94.47200000000001
PGD-20,97.8,96.712
PGD-40,98.05199999999999,97.22200000000001
