attack,steps,epsilon,best_accuracy
fgsm,,0.0,98.91
fgsm,,0.05,97.6
fgsm,,0.1,94.78
fgsm,,0.15,89.94
fgsm,,0.2,82.48
fgsm,,0.25,72.02
fgsm,,0.3,61.03
pgd,5.0,0.0,98.91
pgd,5.0,0.05,97.25
pgd,5.0,0.1,96.26
pgd,5.0,0.15,95.8
pgd,5.0,0.2,95.03
pgd,5.0,0.25,94.32
pgd,5.0,0.3,93.5
pgd,10.0,0.0,98.91
pgd,10.0,0.05,96.22
pgd,10.0,0.1,92.18
pgd,10.0,0.15,89.21
pgd,10.0,0.2,86.46
pgd,10.0,0.25,84.09
pgd,10.0,0.3,81.03
pgd,20.0,0.0,98.91
pgd,20.0,0.05,96.01
pgd,20.0,0.1,86.29
pgd,20.0,0.15,75.47
pgd,20.0,0.2,66.48
pgd,20.0,0.25,57.81
pgd,20.0,0.3,48.54
pgd,40.0,0.0,98.91
pgd,40.0,0.05,95.95
pgd,40.0,0.1,84.64
pgd,40.0,0.15,65.86
pgd,40.0,0.2,42.61
pgd,40.0,0.25,23.26
pgd,40.0,0.3,12.25
