seed,epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,5,0.01504245555504018,99.50333333333333,0.03466447851766006,98.92
1,5,0.015777329811919743,99.49166666666666,0.029541392351796848,99.1
2,5,0.016033288755007077,99.495,0.046660644011023523,98.65
3,5,0.015142771541066196,99.465,0.026863343088407536,99.18
4,5,0.017433836281030023,99.43,0.035841307026133626,98.79
