defense_label,FGSM,PGD-40
Undefended,98.49799999999999,98.49799999999999
FGSM,99.13,99.13
PGD-5,99.126,99.126
PGD-10,99.08,99.08
PGD-20,99.144,99.144
PGD-40,99.118,99.118
