defense_label,FGSM,PGD-40
Undefended,98.56,98.56
FGSM,99.17,99.17
PGD-5,99.11600000000001,99.11600000000001
PGD-10,99.16,99.16
PGD-20,99.122,99.122
PGD-40,99.202,99.202
